NP,CLAVE,NOMBRE
120,2021300055,ARTES CON ESPECIALIDAD EN MÚSICA
121,2021300056,TÉCNICO PROFESIONAL EN MÚSICA
122,2021300057,TÉCNICO PROFESIONAL OPERADOR DE AUDIO
123,2021300058,SOLFEO Y CONCEPTOS TEÓRICOS
124,2021300059,TÉCNICO EN PRODUCCIÓN MUSICAL
125,2021300060,TÉCNICO EN MÚSICA  
126,2021300061,TÉCNICO PROFESIONAL EN PRODUCCIÓN MUSICAL  
127,2021300062,TÉCNICO EJECUTANTE DE CLAVECÍN
128,2021300063,TÉCNICO EJECUTANTE DE CONTRABAJO
129,2021300064,TÉCNICO EJECUTANTE DE TROMPETA
130,2021300065,TÉCNICO EJECUTANTE DE TROMBÓN
131,2021300066,TÉCNICO EJECUTANTE DE TUBA
132,2021300067,TÉCNICO EJECUTANTE DE CORNO 
133,2021300068,TÉCNICO EJECUTANTE DE OBOE 
134,2021300069,TÉCNICO EJECUTANTE DE VIOLONCELLO
135,2021300070,TÉCNICO EJECUTANTE DE CLARINETE
136,2021300071,TÉCNICO EJECUTANTE DE VIOLA
137,2021300072,TÉCNICO EJECUTANTE DE VIOLÍN
138,2021300073,TÉCNICO EJECUTANTE DE SAXSOFÓN
139,2021300074,TÉCNICO EJECUTANTE DE PIANO
140,2021300075,TÉCNICO EJECUTANTE DE PERCUSIONES
141,2021300076,TÉCNICO EJECUTANTE DE GUITARRA
142,2021300077,TÉCNICO EJECUTANTE DE FLAUTA
143,2021300078,TÉCNICO CANTANTE CORAL
144,2021400001,AUDIO Y PRODUCCIÓN
145,2021400002,FOTOGRAFÍA
146,2021400003,DIBUJO ASISTIDO POR COMPUTADORA 3D
147,2021400004,TÉCNICO EN DESAROLLO DE PROYECTOS EN 3D
148,2021400005,TÉCNICO PROFESIONAL EN AUDIO Y PRODUCCIÓN MUSICAL
149,2021400006,CAMÁROGRAFO DOCUMENTALISTA
150,2021500001,DISEÑO GRÁFICO
151,2021500002,DISEÑO GRÁFICO DIGITAL Y ANIMACIÓN
152,2021500003,DISEÑO GRÁFICO PUBLICITARIO
153,2021500004,DISEÑO GRÁFICO CON ACENTUACIÓN EN DESARROLLO DE PÁGINAS WEB
154,2021500005,TECNICO EN DISEÑO GRAFICO
155,2021500006,TÉCNICO PROFESIONAL EN PUBLICIDAD GRÁFICA
156,2021500007,TÉCNICO EN DISEÑO GRÁFICO CON OPCIÓN TERMINAL   
157,2021500008,TALLER DE PUBLICIDAD GRÁFICA 
158,2021500009,DISEÑO GRAFICO DIGITAL  
159,2021500010,TÉCNICO EN DISEÑO Y DESARROLLO WEB
160,2021600001,CORTE Y CONFECCIÓN
161,2021600002,CORTE Y CONFECCIÓN DE ROPA
162,2021600003,CORTE Y CONFECCIÓN Y ALTA COSTURA
163,2021600004,DISEÑO DE MODA INTERNACIONAL Y MERCADOTECNIA
164,2021600005,DISEÑO DE MODA Y ALTA COSTURA
165,2021600006,DISEÑO DE MODAS
166,2021600007,DISEÑO DECORATIVO
167,2021600008,DISEÑO Y DECORACIÓN DE INTERIORES
168,2021600009,DISEÑO Y MERCADOTECNIA EN MODAS
169,2021600010,MODAS
170,2021600011,SASTRERÍA
171,2021600012,DISEÑO DE INTERIORES
172,2021600013,MODISTA
173,2021600014,DECORACIÓN DE INTERIORES
174,2021600015,DISEÑO DE MODAS COMPUTARIZADO
175,2021600016,DISEÑO
176,2021600017,MODELADO SOBRE MANIQUÍ
177,2021600018,CARRERA TÉCNICA DE CNFECCIÓN Y DISEÑO DE MODAS
178,2021600019,"TÉCNICA DE CORTE, CONFECCIÓN Y ALTA COSTURA"
179,2021600020,TÉCNICO EN DISEÑO INDUSTRIAL  
180,2021600021,DISEÑO Y MODAS
181,2021600022,TÉCNICO PROFESIONAL EN DISEÑO DE MODAS
182,2021700001,ARTESANAL EN CERÁMICA
183,2021700002,ARTESANAL EN EBANISTERÍA
184,2021700003,ARTESANAL EN ESMALTES
185,2021700004,ARTESANAL EN ESTAMPADO
186,2021700005,ARTESANAL EN METALES
187,2021700006,ARTESANAL EN TEXTILES
188,2021700007,ARTESANAL EN VITRALES
189,2021700008,CERÁMICA
190,2021700009,ARTESANAL EN JOYERÍA Y ORFEBRERÍA
191,2021700011,LAMINADO Y PINTURA
192,2021700012,JOYERÍA Y ORFEBRERÍA
193,2022000001,EJECUTIVO BILINGÜE EN ATENCIÓN A CLIENTES  
194,2022100001,TÉCNICO EN ADMINISTRACIÓN ECLESIÁSTICA Y TEOLOGÍA
195,2022100002,TÉCNICO PROFESIONAL EN TEOLOGÍA
196,2022200001,ESPAÑOL COMO SEGUNDA LENGUA
197,2022200002,ESPAÑOL PARA EXTRANJEROS
198,2022200003,FRANCÉS
199,2022200004,IDIOMAS
200,2022200005,INGLÉS
201,2022200006,INTÉRPRETE-TRADUCTOR
202,2022200007,ITALIANO
203,2022200008,JAPONÉS
204,2022200009,POSESIÓN DEL IDIOMA
205,2022200010,TÉCNICO PROFESIONAL EN INGLÉS EMPRESARIAL
206,2022200011,TECNICO PROFESIONAL EN COMUNICACIÓN EN LENGUAS INGLESAS
207,2022200012,CONOCER LA FONÉTICA Y FONOLOGÍA DEL INGLES
208,2022200013,CONOCER LOS PRINCIPIOS BÁSICOS DE LA TRADUCCIÓN
209,2022200014,APLICAR REGLAS GRAMATICALES Y FONOLOGÍAS
210,2022200016,EJECUTIVO BILINGÜE
211,2022200017,TÉCNICO EN INGLÉS 
212,2022200018,TÉCNICO PROFESIONAL EN INGLÉS
213,2022300001,LITERATURA MEXICANA Y ESPAÑOLA
214,2031500001,GERONTOLOGÍA
215,2031500002,TRABAJO SOCIAL
216,2031500003,TÉCNICO EN TRABAJO SOCIAL   
217,2031500004,TÉCNICO AUXILIAR EN ATENCIÓN A LAS ADICCIONES
218,2032100001,COMUNICACIÓN
219,2032100002,TÉCNICO PROFESIONAL EN LOCUCIÓN
220,2041000001,TÉCNICO EN COMPUTACIÓN ADMINISTRATIVA Y CONTABLE
221,2041000002,AUXILIAR CONTABLE
222,2041000003,PROFESIONAL TÉCNICO BÍG DATA E INTELIGENCIA DE NEGOCIOS  
223,2041000004,TÉCNICO EN CONTABILIDAD Y SISTEMAS   
224,2041000005,TÉCNICO EN CONTABILIDAD Y ADMINISTRACIÓN  
225,2041000006,TÉCNICO CONTABLE Y ADMINISTRATIVO  
226,2041100001,COMERCIO EXTERIOR
227,2041100002,COMERCIO Y COMPUTACIÓN
228,2041100003,FISCAL ADUANAL EN COMERCIO EXTERIOR
229,2041100004,LOGÍSTICA
230,2041100005,TRAMITACIÓN ADUANAL
231,2041100006,CURSO DE ESTUDIOS DEL CAFÉ CON ESPECIALIDAD EN AGRONEGOCIOS
232,2041100007,TÉCNICO EN VENTAS 
233,2041200001,DISEÑO DE IMAGEN
234,2041200002,DISEÑO Y PROYECCIÓN DE IMAGEN
235,2041200003,PUBLICIDAD
236,2041200004,PUBLICISTA GRAFICO
237,2041200005,RELACIONES PÚBLICAS
238,2041200006,ASISTENTE EN MERCADOTECNIA Y VENTAS
239,2041200007,ESTRUCTURA TÉCNICA Y MERCADOLÓGICA
240,2041200008,OPERACIÓN Y SERVICIO DE PISO
241,2041200009,TÉCNICO EN PUBLICIDAD Y MARKETING
242,2041300001,TÉCNICO SUPERIOR EN ADMINISTRACIÓN BANCARIA  
243,2041300002,TÉCNICO SUPERIOR EN VENTAS 
244,2041300003,TÉCNICO EN VENTAS CON OPCIÓN TERMINAL   
245,2041300004,TÉCNICO EN ADMINISTRACIÓN FINANCIERA
246,2041400001,ADMINISTRACIÓN Y CONTADURÍA
247,2041400002,ASISTENTE ADMINISTRATIVO CONTABLE
248,2041400003,ASISTENTE ADMINISTRATIVO Y CONTABLE
249,2041400004,COMPUTACIÓN ADMINISTRATIVA Y CONTABLE
250,2041400005,CONTABILIDAD
251,2041400006,CONTABILIDAD ADMINISTRATIVA
252,2041400007,CONTABILIDAD FISCAL CONTABLE
253,2041400008,CONTABILIDAD Y ADMINISTRACIÓN
254,2041400009,CONTABILIDAD Y AUDITORÍA
255,2041400010,CONTABLE Y ADMINISTRATIVO EN INFORMÁTICA
256,2041400011,CONTADOR AUXILIAR EN FINANZAS
257,2041400012,CONTADOR AUXILIAR EN INFORMÁTICA
258,2041400013,CONTADOR FISCAL EN INFORMÁTICA
259,2041400014,CONTADOR PRIVADO
260,2041400015,CONTADOR TÉCNICO
261,2041400016,CONTADOR TÉCNICO CON COMPUTACIÓN
262,2041400017,CONTADOR TÉCNICO FISCAL
263,2041400018,CONTADURÍA
264,2041400019,INFORMÁTICA CONTABLE
265,2041400020,TÉCNICO EN SISTEMAS Y ADMINISTRACIÓN CONTABLE
266,2041400021,TECNICO EN CONTABILIDAD CON ACENTUACION EN INGLES
267,2041400022,TÉCNICO EJECUTIVO CONTABLE   
268,2042000001,ADMINISTRACIÓN
269,2042000002,ORGANIZACION DE EVENTOS DE NEGOCIOS SOCIALES Y CULTURALES
270,2042000003,TÉCNICO DE ADMINISTRACIÓN DE LAS TECNOLOGÍAS DE LA INFORMACIÓN  
271,2042000004,TÉCNICO EN ADMINISTRACIÓN TURÍSTICA  
272,2042000005,ASISTENTE ADMINISTRATIVO Y SECRETARIAL 
273,2042000006,TÉCNICO PROFESIONAL EN CIENCIAS ADMINISTRATIVAS
274,2042100001,ADMINISTRACIÓN DE EMPRESAS
275,2042100002,ADMINISTRACIÓN DE SERVICIOS
276,2042100003,DESARROLLO EMPRESARIAL
277,2042100004,SUPERVISIÓN DE EMPRESAS
278,2042100005,TÉCNICO PROFESIONAL EN ADMINISTRACIÓN DE RECURSOS HUMANOS
279,2042100006,TÉCNICO PROFESIONAL EN DESARROLLO ORGANIZACIONAL
280,2042100007,FORMACIÓN EMPRESARIAL I
281,2042100008,FORMACIÓN EMPRESARIAL II
282,2042100009,TÉCNICO EN ADMINISTRACIÓN DE RECURSOS HUMANOS TECNOLÓGICOS
283,2042100010,IMPLEMENTACION DE PROYECTOS
284,2042100011,"MANEJO DE RECURSOS, REGISTRO Y COBRO DE MERCANCÍAS"
285,2042100012,ADMINISTRACIÓN Y CONTABILIDAD
286,2042100013,CARRERA TÉCNICA EN ASISTENTE GENERENCIAL
287,2042100014,TÉCNICO EN ADMINISTRACIÓN EMPRESARIAL 
288,2042200001,ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS
289,2042200002,ADMINISTRACIÓN GASTRONÓMICA
290,2042200003,ADMINISTRACIÓN TURÍSTICA Y HOTELERA
291,2042200004,ADMINISTRACIÓN DE SERVICIOS ALIMENTARIOS
292,2042200005,GASTRONOMÍA CON ADMINISTRACIÓN
293,2042200006,SERVICIOS DE HOSPEDAJE
294,2042300001,TÉCNICO EN COMMUNITY MANAGEMENT
295,2042500001,ADMINISTRACIÓN DE LOS SERVICIOS DE SALUD EN ENFERMERÍA
296,2042500002,EMPRENDIMIENTO AGROPECUARIO
297,2042500003,CURSO POST BASICO DE ADMINISTRACION Y DOCENCIA DE LOS SERVICIOS DE ENFERMERIA
298,2042500004,ADMINISTRACIÓN DE LOS SERVICIOS DE ENFERMERÍA
299,2051200001,BIOTECNOLOGÍA
300,2052300001,AEROLOGISTA
301,2061000001,TÉCNICO SUPERIOR EN COMUNICACIÓN   
302,2061300001,ANALISTA EN SISTEMAS COMPUTACIONALES
303,2061300002,ANALISTA PROGRAMADOR
304,2061300003,ANALISTA PROGRAMADOR BILINGÜE
305,2061300004,ANALISTA PROGRAMADOR EN SISTEMAS
306,2061300005,APLICACIONES COMPUTACIONALES
307,2061300006,DESARROLLO DE SISTEMAS
308,2061300007,DISEÑADOR EN SISTEMAS COMPUTACIONALES
309,2061300008,DISEÑADOR WEB
310,2061300009,PROGRAMADOR ANALISTA
311,2061300010,PROGRAMADOR ANALISTA DE SISTEMAS
312,2061300011,PROGRAMADOR EN SISTEMAS
313,2061300012,SISTEMAS COMPUTACIONALES
314,2061300013,SISTEMAS DE INFORMACIÓN
315,2061300014,PROGRAMADOR ANALISTA EN SISTEMAS
316,2061300015,APLICACIONES DE CÓMPUTO
317,2061300016,ELABORACIÓN DE HOJAS DE CALCULO
318,2061300017,TECNICO PROGRAMADOR EN SISTEMAS
319,2062000001,COMPUTACIÓN
320,2062000002,CAPTURISTA
321,2062000003,TECNOLOGÍAS DE LA INFORMACIÓN
322,2062000004,TÉCNICO EN SOPORTE Y REPARACIÓN DE SISTEMAS DE CÓMPUTO 
323,2062100001,ELECTRÓNICA Y COMUNICACIONES
324,2062100002,SISTEMAS Y REDES
325,2062100003,TELECOMUNICACIONES
326,2062200001,ADMINISTRACIÓN E INGENIERÍA DE SOFTWARE
327,2062200002,ASISTENTE EN SISTEMAS DE CÓMPUTO
328,2062200003,AUXILIAR EN INFORMÁTICA ADMINISTRATIVA
329,2062200004,COMPUTACIÓN ADMINISTRATIVA
330,2062200005,COMPUTACIÓN EMPRESARIAL
331,2062200006,EMPRESARIAL EN INFORMÁTICA
332,2062200007,INFORMÁTICA
333,2062200008,INFORMÁTICA ADMINISTRATIVA
334,2062200009,OFIMÁTICA Y DISEÑO DIGITAL
335,2062200010,TECNOLOGÍA DE LA INFORMACIÓN
336,2062200011,OFIMÁTICA
337,2062200012,TÉCNICO PROFESIONAL EN INFORMÁTICA
338,2062200013,SISTEMAS INFORMATICOS
339,2062200014,TECNICO EN INFORMATICA  CON ACENTUACION EN INGLES
340,2062200015,TÉCNICO EN PROGRAMACIÓN
341,2062200016,TÉCNICO ESPECIALIZADO EN INFORMÁTICA   
342,2062200017,TÉCNICO PROFESIONAL EN COMPUTACIÓN ADMINISTRATIVA
343,2062200018,TÉCNICO EN INFORMÁTICA
344,2062200019,GESTIÓN Y DIGITALIZACIÓN DE DOCUMENTOS
345,2062200020,TÉCNICO PROFESIONAL EN COMPUTACIÓN
346,2062200021,TÉCNICO PROFESIONAL EN INFORMÁTICA Y TECNOLOGÍAS DE LA INFORMACIÓN
347,2062300001,MANTENIMIENTO Y REPARACIÓN DE MICROCOMPUTADORAS
348,2062300002,MANTENIMIENTO Y REPARACIÓN DE COMPUTADORAS
349,2062300003,SOPORTE Y MANTENIMIENTO DE EQUIPOS DE COMPUTO
350,2062300004,MANTENIMIENTO DE PC Y REDES
351,2062300005,TÉCNICO EN SOPORTE Y MANTENIMIENTO DE EQUIPO DE COMPUTO
352,2071000001,PROFESIONAL TECNICO EN MERCADOTECNIA E INGENIERÍA DIGITAL  
353,2071100001,MÁQUINAS HERRAMIENTA
354,2071100002,MECÁNICA INDUSTRIAL
355,2071100003,MECÁNICO
356,2071100004,MECÁNICO DE PISO
357,2071100005,SOLDADURA INDUSTRIAL Y PAILERA
358,2071100006,DIBUJO MECÁNICA INDUSTRIAL
359,2071100007,TÉCNICO EN MATRICERÍA
360,2071100008,SOLDADURA
361,2071100009,MANTENIMIENTO INDUSTRIAL
362,2071100010,SOLDADURA Y PAILERÍA
363,2071100011,MECÁNICA EN CONSTRUCCIÓN DE CARROCERIAS Y ACABADO DE SUPERFICIES
364,2071100012,MECÁNICO DE HERRAMIENTAS
365,2071100013,TÉCNICO PROFESIONAL EN MECATRÓNICA AUTOMOTRIZ
366,2071100014,TECNICO EN MAQUINAS Y HERRAMIENTAS
367,2071100015,TÉCNICO EN MECÁNICA DE MOTOCICLETAS
368,2071200001,ELECTRICIDAD
369,2071200002,ELECTRICIDAD INDUSTRIAL
370,2071200003,ELECTRICISTA
371,2071200004,ELÉCTRICO INSTRUMENTISTA
372,2071200005,REFRIGERACIÓN Y AIRE ACONDICIONADO
373,2071200006,ELECTRICIDAD INDUSTRIAL Y CONTROL
374,2071200007,ELECTRICIDAD Y EMBOBINADO
375,2071200008,TÉCNICO PROFESIONAL EN REFRIGERACIÓN
376,2071200009,TÉCNICO PROFESIONAL EN ELECTRICIDAD
377,2071200010,ELECTRICIDAD Y ELECTRÓNICA
378,2071200011,ENERGÍAS ALTERNAS
379,2071300001,ELECTRÓNICA
380,2071300002,ELECTRÓNICA DIGITAL
381,2071300003,ELECTRÓNICA MODERNA
382,2071300004,ELECTROTECNIA
383,2071300005,INSTRUMENTACIÓN ELECTRÓNICA
384,2071300006,MECÁNICO ELÉCTRICO
385,2071300007,RADIO Y TELEVISIÓN A COLOR
386,2071300008,SISTEMAS DIGITALES
387,2071300009,RADIO Y TELEVISIÓN A COLOR Y TRANSISTORES
388,2071300010,RADIO Y TELEVISÍON
389,2071300011,MECATRÓNICA
390,2071300012,TÉCNICO PROFESIONAL LÍDER EN MECATRÓNICA
391,2071300013,ROBÓTICA
392,2071400001,QUÍMICA INDUSTRIAL
393,2071400002,AUXILIAR DE LABORATORIO DE QUÍMICA
394,2071400003,PROCESOS QUIMICOS INDUSTRIALES
395,2071500001,AUTOMOTRIZ
396,2071500002,MAQUINARIA AGRÍCOLA
397,2071500003,MÁQUINAS DE COMBUSTIÓN INTERNA
398,2071500004,MECÁNICA AUTOMOTRIZ
399,2071500005,MECÁNICA AUTOMOTRIZ Y DIÉSEL
400,2071500006,MECÁNICA DIÉSEL
401,2071500007,MECÁNICA NAVAL
402,2071500008,MECÁNICO ELÉCTRICO AUTOMOTRIZ
403,2071500009,GASOLINA Y DIÉSEL
404,2071500010,MECÁNICO AUTOMOTRIZ DIESEL
405,2071500011,MANTENIMIENTO DE AVIACIÓN
406,2071500012,ELECTRÓNICA DE AVIACIÓN
407,2071500013,"MECÁNICA, DIÉSEL AUTOMOTRIZ"
408,2071500014,TÉCNICO PROFESIONAL AUTOMOTRIZ
409,2071500015,TÉCNICO PROFESIONAL EN MECÁNICA AUTOMOTRIZ
410,2071500016,ELECTRICO AUTOMOTRIZ
411,2071500017,MECÁNICA DIESEL
412,2071500018,ELECTRONICA AUTOMOTRIZ
413,2071500019,TÉCNICO EN MECÁNICA AUTOMOTRIZ
414,2072000001,PROCESOS DE MANUFACTURA COMPETITIVA
415,2072100001,PRODUCCIÓN INDUSTRIAL DE ALIMENTOS
416,2072100002,QUÍMICO EN ANÁLISIS Y PROCESOS DE ALIMENTOS
417,2072100003,AGROINDUSTRIAS ALIMENTARIAS
418,2072200001,CONFECCIÓN INDUSTRIAL
419,2072200002,DISEÑO DE PATRONES INDUSTRIALES
420,2072200003,PRODUCCIÓN DE PRENDAS DE VESTIR
421,2072200004,INDUSTRIA DEL VESTIDO
422,2072300001,PLÁSTICOS
423,2072400001,METALURGIA
424,2072400002,FUNDICIÓN
425,2072400003,METALURGÍA Y FUNDICIÓN
426,2073100001,DISEÑO ARQUITECTÓNICO
427,2073100002,DIBUJO ARQUITECTÓNICO Y ESTRUCTURAL
