NP,CLAVE,NOMBRE
80,6031500001,ESPECIALIDAD EN POSGRADO EN ASESORÍA Y ORIENTACIÓN FAMILIAR
81,6031100009,ESPECIALIDAD EN PSICOANÁLISIS
82,6031100010,ESPECIALIDAD EN PSICOLOGÍA
83,6031100011,ESPECIALIDAD EN PSICOLOGÍA CLÍNICA
84,6031100012,ESPECIALIDAD EN PSICOLOGÍA COMUNITARIA
85,6031100013,ESPECIALIDAD EN PSICOLOGÍA CRIMINAL
86,6031100014,ESPECIALIDAD EN PSICOLOGÍA DE LA SALUD
87,6031100015,ESPECIALIDAD EN PSICOLOGÍA DEL TRABAJO
88,6031100016,ESPECIALIDAD EN PSICOLOGÍA EDUCATIVA
89,6031100017,ESPECIALIDAD EN PSICOLOGÍA EN ATENCIÓN INTEGRAL DE LA SALUD
90,6031100018,ESPECIALIDAD EN PSICOTERAPIA BREVE SISTEMÁTICA
91,6031100019,ESPECIALIDAD EN PSICOTERAPIA CLÍNICA Y HOSPITALARIA
92,6031100020,ESPECIALIDAD EN PSICOTERAPIA DE PAREJA Y FAMILIA
93,6031100021,ESPECIALIDAD EN PSICOTERAPIA ERICKSONIANA
94,6031100022,ESPECIALIDAD EN PSICOTERAPIA FAMILIAR
95,6031100023,ESPECIALIDAD EN PSICOTERAPIA GESTALT
96,6031100024,ESPECIALIDAD EN PSICOTERAPIA PARA NIÑOS Y ADOLESCENTES
97,6031100025,ESPECIALIDAD EN PSICOTERAPIA PARA NIÑOS Y ADOLESCENTES CON ENFOQUE GESTALT
98,6031100026,ESPECIALIDAD EN PSICOTERAPIA PSICOANALÍTICA
99,6031100027,ESPECIALIDAD EN SENSIBILIZACIÓN Y MANEJO DE GRUPOS EN LA EDUCACIÓN SEXUAL
100,6031100028,ESPECIALIDAD EN SEXOLOGÍA CLÍNICA
101,6031100029,ESPECIALIDAD EN SEXOLOGÍA EDUCATIVA
102,6031100030,ESPECIALIDAD EN SEXOLOGÍA EDUCATIVA HUMANISTA
103,6031100031,ESPECIALIDAD EN TERAPIA DE FAMILIA Y DE PAREJA
104,6031100032,ESPECIALIDAD EN TERAPIA DE FAMILIA Y TERAPIA BREVE
105,6031100033,ESPECIALIDAD EN TERAPIA FAMILIAR
106,6031100034,ESPECIALIDAD EN TERAPIA PSICOSEXUAL
107,6031100035,ESPECIALIDAD EN TERAPIAS PSICOSOCIALES
108,6031200002,ESPECIALIDAD EN CIENCIAS ANTROPOLÓGICAS
109,6031200003,ESPECIALIDAD EN CIENCIAS EN DESARROLLO RURAL
110,6031000001,ESPECIALIDAD EN DESARROLLO HUMANO
111,6031100066,ESPECIALIDAD EN ENFOQUE CENTRADO EN LA PERSONA
112,6031200004,ESPECIALIDAD EN ESTUDIOS DE GENERO
113,6011100024,ESPECIALIDAD EN ESTUDIOS DE GENERO EN EDUCACIÓN
114,6011100025,ESPECIALIDAD EN ESTUDIOS DE GENERO Y EDUCACIÓN
115,6031200005,ESPECIALIDAD EN ESTUDIOS DE LA MUJER
116,6031100067,ESPECIALIDAD EN ORIENTACIÓN Y DESARROLLO HUMANO
117,6031200006,ESPECIALIDAD EN PROCESOS CULTURALES LECTO-ESCRITORES
118,6042100004,ESPECIALIDAD EN PROSPECTIVA
119,6031200007,ESPECIALIDAD EN SOCIOLOGÍA DE LA EDUCACIÓN SUPERIOR
120,6031300003,ESPECIALIDAD EN ANÁLISIS POLÍTICO
121,6031300004,ESPECIALIDAD EN CIENCIAS POLÍTICAS
122,6032100001,ESPECIALIDAD EN COMUNICACIÓN SOCIAL Y POLÍTICA
123,6033100002,ESPECIALIDAD EN DERECHOS HUMANOS
124,6031300005,ESPECIALIDAD EN ESTUDIOS DIPLOMÁTICOS
125,6031300007,"ESPECIALIDAD EN POLÍTICA EXTERIOR, DIPLOMACIA Y COMERCIO INTERNACIONAL"
126,6031300008,ESPECIALIDAD EN POLÍTICA Y GESTIÓN ENERGÉTICA Y MEDIO AMBIENTAL
127,6031400001,ESPECIALIDAD EN ECONOMÍA FINANCIERA
128,6031500006,ESPECIALIDAD EN ADICCIONES
129,6031500007,ESPECIALIDAD EN EDUCACIÓN PERINATAL
130,6031500008,ESPECIALIDAD EN EDUCADOR DE LA CALLE
131,6011100026,ESPECIALIDAD EN GENERO EN EDUCACIÓN
132,6031500009,ESPECIALIDAD EN GERONTOLOGÍA
133,6031500010,ESPECIALIDAD EN POSGRADO EN INTERVENCIÓN ECOSISTÉMICA EN VIOLENCIA FAMILIAR
134,6031500011,ESPECIALIDAD EN PREVENCIÓN DE ADICCIONES
135,6031500012,ESPECIALIDAD EN PROBLEMAS DE FARMACODEPENDENCIA
136,6031500013,ESPECIALIDAD EN TRABAJO SOCIAL EN MODELOS DE INTERVENCIÓN CON ADULTOS MAYORES
137,6031500014,ESPECIALIDAD EN TRABAJO SOCIAL EN MODELOS DE INTERVENCIÓN CON JÓVENES
138,6031500015,ESPECIALIDAD EN TRABAJO SOCIAL EN MODELOS DE INTERVENCIÓN CON MUJERES
139,6032100003,ESPECIALIDAD EN COMUNICACIÓN INTERPERSONAL
140,6032100004,ESPECIALIDAD EN COMUNICACIÓN ORGANIZACIONAL
141,6032100005,ESPECIALIDAD EN COMUNICACIÓN ORGANIZACIONAL Y RELACIONES PÚBLICAS
142,6042000001,ESPECIALIDAD EN ADMINISTRACIÓN
143,6041100001,ESPECIALIDAD EN NEGOCIOS
144,6041200002,ESPECIALIDAD EN COMERCIALIZACIÓN ESTRATÉGICA
145,6041100003,ESPECIALIDAD EN COMERCIO ELECTRÓNICO
146,6041100005,ESPECIALIDAD EN COMERCIO EXTERIOR Y ADUANAS
147,6041100006,ESPECIALIDAD EN COMERCIO INTERNACIONAL
148,6041100007,ESPECIALIDAD EN COMERCIO Y FINANZAS INTERNACIONALES
149,6041100008,ESPECIALIDAD EN CONSULTOR EN NEGOCIOS
150,6041200003,ESPECIALIDAD EN DIRECCIÓN ESTRATÉGICA DE MARCAS
151,6041100010,ESPECIALIDAD EN EMPRESAS Y NEGOCIOS
152,6033100004,ESPECIALIDAD EN ESTRUCTURA JURÍDICO ECONÓMICA DE LA INVERSIÓN EXTRANJERA
153,6041100011,ESPECIALIDAD EN NEGOCIOS AGROPECUARIOS
154,6041100012,ESPECIALIDAD EN NEGOCIOS INTERNACIONALES
155,6041100013,ESPECIALIDAD EN PERICIA Y VALUACIÓN DE BIENES RURALES
156,6042100008,ESPECIALIDAD EN PLANEACIÓN ESTRATÉGICA
157,6042100009,ESPECIALIDAD EN PLANEACIÓN ESTRATÉGICA DE NEGOCIOS
158,6041100014,ESPECIALIDAD EN VALUACIÓN
159,6041100015,ESPECIALIDAD EN VALUACIÓN CON ORIENTACIÓN EN INMUEBLES
160,6041100016,ESPECIALIDAD EN VALUACIÓN CON ORIENTACIÓN EN INMUEBLES AGROPECUARIOS
161,6041100017,ESPECIALIDAD EN VALUACIÓN CON ORIENTACIÓN EN MAQUINARIA Y EQUIPO
162,6041100018,ESPECIALIDAD EN VALUACIÓN DE BIENES INMUEBLES
163,6041100019,ESPECIALIDAD EN VALUACIÓN INMOBILIARIA
164,6041100020,ESPECIALIDAD LA PERICIA Y LA VALUACIÓN DE BIENES MUEBLES
165,6041200006,ESPECIALIDAD EN ALTA DIRECCIÓN DE MERCADOTECNIA
166,6041200007,ESPECIALIDAD EN CREATIVIDAD Y ESTRATEGIAS PUBLICITARIAS
167,6041200008,ESPECIALIDAD EN INVESTIGACIÓN DE MERCADOS
168,6041200010,ESPECIALIDAD EN MERCADOTECNIA
169,6041200011,ESPECIALIDAD EN MERCADOTECNIA ESTRATÉGICA
170,6041200012,ESPECIALIDAD EN MERCADOTECNIA INTERNACIONAL
171,6041200013,ESPECIALIDAD EN MERCADOTECNIA RADICAL
172,6041200014,ESPECIALIDAD EN MERCADOTECNIA Y PUBLICIDAD
173,6041200015,ESPECIALIDAD EN MERCAELECTRÓNICA
174,6041200016,ESPECIALIDAD EN PUBLICIDAD
175,6041200017,ESPECIALIDAD EN PUBLICIDAD EN MEDIOS INTERACTIVOS
176,6041200018,ESPECIALIDAD EN PUBLICIDAD ESTRATÉGICA
177,6041200019,ESPECIALIDAD EN RELACIONES PÚBLICAS
178,6041300002,ESPECIALIDAD EN ADMINISTRACIÓN FINANCIERA
179,6041300003,ESPECIALIDAD EN DIRECCIÓN FINANCIERA
180,6041300004,ESPECIALIDAD EN FINANZAS
181,6041300006,ESPECIALIDAD EN FINANZAS CORPORATIVAS
182,6041300007,ESPECIALIDAD EN FINANZAS CORPORATIVAS Y BURSÁTILES
183,6041300008,ESPECIALIDAD EN FINANZAS EN ALTA DIRECCIÓN
184,6041300009,ESPECIALIDAD EN FINANZAS PÚBLICAS
185,6041300011,ESPECIALIDAD EN PROYECTOS DE INVERSIÓN
186,6041400001,ESPECIALIDAD EN ADMINISTRACIÓN FISCAL
